Analysis Type:,PANTHER Overrepresentation Test (Released 20200407),,,,,,
Annotation Version and Release Date:,GO Ontology database  Released 2020-02-21,,,,,,
Analyzed List:,upload_1 (Homo sapiens),,,,,,
Reference List:,Homo sapiens (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,FDR,,,,,,
GO biological process complete,Homo sapiens - REFLIST (20851),upload_1 (763),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
biosynthetic process (GO:0009058),2964,63,108.46,-,0.58,9.21E-07,3.33E-04
cellular biosynthetic process (GO:0044249),2782,59,101.8,-,0.58,1.91E-06,6.07E-04
small molecule metabolic process (GO:0044281),1717,30,62.83,-,0.48,3.77E-06,9.99E-04
system process (GO:0003008),1980,34,72.45,-,0.47,3.36E-07,1.58E-04
oxoacid metabolic process (GO:0043436),971,15,35.53,-,0.42,1.83E-04,3.13E-02
organic acid metabolic process (GO:0006082),992,15,36.3,-,0.41,1.05E-04,1.89E-02
lipid metabolic process (GO:0006629),1195,18,43.73,-,0.41,1.35E-05,3.02E-03
nervous system process (GO:0050877),1399,20,51.19,-,0.39,7.49E-07,2.91E-04
organophosphate metabolic process (GO:0019637),877,12,32.09,-,0.37,8.41E-05,1.59E-02
sensory perception (GO:0007600),977,12,35.75,-,0.34,8.16E-06,1.97E-03
cellular lipid metabolic process (GO:0044255),948,11,34.69,-,0.32,5.86E-06,1.48E-03
lipid biosynthetic process (GO:0008610),583,6,21.33,-,0.28,2.39E-04,3.84E-02
cellular amide metabolic process (GO:0043603),797,8,29.16,-,0.27,8.86E-06,2.07E-03
detection of stimulus (GO:0051606),702,7,25.69,-,0.27,2.76E-05,6.02E-03
peptide metabolic process (GO:0006518),537,5,19.65,-,0.25,2.10E-04,3.51E-02
G protein-coupled receptor signaling pathway (GO:0007186),1322,11,48.38,-,0.23,1.63E-10,1.18E-07
carbohydrate metabolic process (GO:0005975),482,3,17.64,-,0.17,5.04E-05,1.04E-02
sensory perception of chemical stimulus (GO:0007606),540,3,19.76,-,0.15,8.74E-06,2.08E-03
glycerolipid metabolic process (GO:0046486),380,2,13.91,-,0.14,2.12E-04,3.52E-02
monovalent inorganic cation transport (GO:0015672),409,2,14.97,-,0.13,1.10E-04,1.98E-02
sensory perception of smell (GO:0007608),468,1,17.13,-,0.06,1.48E-06,4.92E-04
detection of chemical stimulus involved in sensory perception (GO:0050907),483,1,17.67,-,0.06,1.07E-06,3.78E-04
detection of chemical stimulus (GO:0009593),519,1,18.99,-,0.05,2.14E-07,1.06E-04
detection of stimulus involved in sensory perception (GO:0050906),545,1,19.94,-,0.05,1.02E-07,5.58E-05
receptor-mediated endocytosis (GO:0006898),239,0,8.75,-, < 0.01,3.00E-04,4.73E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),439,0,16.06,-, < 0.01,2.58E-07,1.24E-04
